review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
7bc2406110b926393aa56f80a40eba40,73fc7af87114b39712e6da79b0a377eb,4,,,18-01-2018 00:00,18-01-2018 21:46
80e641a11e56f04c1ad469d5645fdfde,a548910a1c6147796b98fdf73dbeba33,5,,,10-03-2018 00:00,11-03-2018 03:05
228ce5500dc1d8e020d8d1322874b6f0,f9e4b658b201a9f2ecdecbb34bed034b,5,,,17-02-2018 00:00,18-02-2018 14:36
e64fb393e7b32834bb789ff8bb30750e,658677c97b385a9be170737859d3511b,5,,Recebi bem antes do prazo estipulado.,21-04-2017 00:00,21-04-2017 22:02
f7c4243c7fe1938f181bec41a392bdeb,8e6bfb81e283fa7e4f11123a3fb894f1,5,,Parabéns lojas lannister adorei comprar pela Internet seguro e prático Parabéns a todos feliz Páscoa,01-03-2018 00:00,02-03-2018 10:26
15197aa66ff4d0650b5434f1b46cda19,b18dcdf73be66366873cd26c5724d1dc,1,,,13-04-2018 00:00,16-04-2018 00:39
07f9bee5d1b850860defd761afa7ff16,e48aa0d2dcec3a2e87348811bcfdf22b,5,,,16-07-2017 00:00,18-07-2017 19:30
7c6400515c67679fbee952a7525281ef,c31a859e34e3adac22f376954e19b39d,5,,,14-08-2018 00:00,14-08-2018 21:36
a3f6f7f6f433de0aefbb97da197c554c,9c214ac970e84273583ab523dfafd09b,5,,,17-05-2017 00:00,18-05-2017 12:05
8670d52e15e00043ae7de4c01cc2fe06,b9bf720beb4ab3728760088589c62129,4,recomendo,aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que é o mesmo aparelho,22-05-2018 00:00,23-05-2018 16:45
c9cfd2d5ab5911836ababae136c3a10c,cdf9aa68e72324eeb25c7de974696ee2,5,,,23-12-2017 00:00,26-12-2017 14:36
96052551d87e5f62e6c9f6974ec392e9,3d374c9e46530bb5ed4a7648915306a6,5,,,19-12-2017 00:00,20-12-2017 10:25
4b49719c8a200003f700d3d986ea1a19,9d6f15f95d01e79bd1349cc208361f09,4,,"Mas um pouco ,travando...pelo valor ta Boa.
",16-02-2018 00:00,20-02-2018 10:52
23f75a37effc35d9a915b4e1ad483793,2eaf8e099d871cd5c22b83b5ea8f6e0e,4,,,28-03-2018 00:00,30-03-2018 15:10
9a0abbb668bafb95a6d2b05db43284c4,d7bd0e4afdf94846eb73642b4e3e75c3,3,,,30-04-2017 00:00,03-05-2017 00:02
3948b09f7c818e2d86c9a546758b2335,e51478e7e277a83743b6f9991dbfa3fb,5,Super recomendo,"Vendedor confiável, produto ok e entrega antes do prazo.",23-05-2018 00:00,24-05-2018 03:00
9314d6f9799f5bfba510cc7bcd468c01,0dacf04c5ad59fd5a0cc1faa07c34e39,2,,"GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",18-01-2018 00:00,20-01-2018 21:25
8e15a274d95600fa14f8be64e37a0e67,ff1581e08b3011021e7c7de592ddc81e,5,,,24-03-2018 00:00,26-03-2018 15:58
fdbdb2629a7cde0f66657acc92084e7f,70a752414a13d09cc1f2b437b914b28e,3,,,29-09-2017 00:00,02-10-2017 01:12
373cbeecea8286a2b66c97b1b157ec46,583174fbe37d3d5f0d6661be3aad1786,1,Não chegou meu produto ,Péssimo,15-08-2018 00:00,15-08-2018 04:10
a2ff510ca4e059c3fefc7a7866571f6f,a9953b2f0b1665ac7586cc5a6ac8f58c,4,,,06-10-2017 00:00,08-10-2017 22:36
80c70bc263881ba6525f6cee1d94ac87,ae168dfba236919411fe08f336fefa44,5,,,17-03-2018 00:00,04-04-2018 19:41
d21bbc789670eab777d27372ab9094cc,4fc44d78867142c627497b60a7e0228a,5,Ótimo,Loja nota 10,10-07-2018 00:00,11-07-2018 14:10
7bcb3c758c67f23638262c731493e848,7c9956750739a47dba7a6928ba2f0245,5,,,09-09-2017 00:00,17-10-2017 02:25
0e0190b9db53b689b285d3f3916f8441,79832b7cb59ac6f887088ffd686e1d5e,5,,obrigado pela atençao amim dispensada,01-12-2017 00:00,09-12-2017 22:58
66e4430c5bc6b7e3773886bf1c14d912,84cec4f65c7a4f2f54c294a30224a594,5,,,23-06-2017 00:00,27-06-2017 00:52
bf566b3910c328733baf7fca7d2be041,a59a15e4b6085c752d338431dc68d464,4,,,01-11-2017 00:00,01-11-2017 20:25
fe3db7c069d694bab50cc43463f91608,2ca73e2ff9e3a186ad1e1ffb9b1d9c10,5,,"A compra foi realizada facilmente.
A entrega foi efetuada muito antes do prazo dado.
O produto já começou a ser usado e até o presente,
sem problemas.",23-03-2018 00:00,01-04-2018 00:27
e07eee7ad7666276bd8b27fbd83fd1ff,68b3cbc68e4cd1fe19bec35f1d3bb7ee,5,,relógio muito bonito e barato.,29-03-2018 00:00,02-04-2018 14:19
2c5e27fc178bde7ac173c9c62c31b070,0ce9a24111d850192a933fcaab6fbad3,1,,Não gostei ! Comprei gato por lebre,13-12-2017 00:00,16-12-2017 07:14
540e7bbb2d06cfb7f85f3a88ba7ac97f,cf73e2cb1f4a9480ed70c154da3d954a,5,,,18-01-2018 00:00,18-01-2018 19:12
6a18a4001ae7fd911b3b9fb13686d105,8ba3f3a9292fbc22a8b7dff752bbcd37,5,,,19-07-2017 00:00,20-07-2017 10:38
58044bca115705a48fe0e00a21390c54,68e55ca79d04a79f20d4bfc0146f4b66,1,,"Sempre compro pela Internet e a entrega ocorre antes do prazo combinado, que acredito ser o prazo máximo. No stark o prazo máximo já se esgotou e ainda não recebi o produto.",08-04-2018 00:00,09-04-2018 12:22
19a52a2297e5289ab4187d238d335982,677c865b89aa97e7dbeb4bfbb50bbcfd,5,,,25-08-2018 00:00,26-08-2018 22:02
c92cdd7dd544a01aa35137f901669cdf,37e7875cdce5a9e5b3a692971f370151,4,Muito bom.,"Recebi exatamente o que esperava. As demais encomendas de outros vendedores atrasaram, mas esta chegou no prazo.",07-06-2018 00:00,09-06-2018 18:44
c0f4c8301f8c29d6f53d239e194bb4c2,04db86e3493b3724ac4bd3c9a397e23c,5,,,12-09-2017 00:00,13-09-2017 14:33
08c9d79ec0eba1d252e3f52f14b8e6a9,e029f708df3cc108b3264558771605c6,5,Bom,"Recomendo ,",13-06-2018 00:00,13-06-2018 22:54
2170c9452c2216457b36003fe2969fbb,af32671d0b8ce510a94d9111d97371d3,5,,muito boa ,22-03-2018 00:00,30-03-2018 23:37
b193ff3c9f32a01f3a0d9ae26b94d244,e2e6ee1ed2d7f2f36b05d234983bd7a0,5,Maravilhoso!,"Tô completamente apaixonada, loja super responsável e confiável!",10-08-2018 00:00,11-08-2018 00:22
9fd59cd04b42f600df9f25e54082a8d1,3c314f50bc654f3c4e317b055681dff9,1,,Nada de chegar o meu pedido.,21-04-2017 00:00,23-04-2017 05:37
ab3056e4fb5a36df4b58c1746e4a6b8f,aad1dcbe4c9fe2e3486e5e04c6649097,2,,,13-05-2018 00:00,14-05-2018 16:29
eb26c2bfb5030f57dcef30d3f111eb1e,88096595631e8d26b658306256e3ce34,1,,,08-02-2018 00:00,10-02-2018 04:28
caf7d6d68090fedf0f47b27aff4b4eaf,c186ebe3937470a2f562a2dc0bc74dd7,5,,,05-12-2017 00:00,07-12-2017 23:34
86c5cfa7fcbde303f704b60a78ced7d6,a6456e781cb962cc3f412b04de4fed7b,5,Entrega perfeita,Muito bom. muito cheiroso.,13-06-2018 00:00,14-06-2018 17:29
6f3eb43ec2f5092cf04c8d705864a8ac,f3a9c397a2fa5a2366b4b96bc15737f6,5,,,11-03-2018 00:00,14-03-2018 00:38
3dc0777d97733a1d066f5b781e91577f,44a9994228432b835c3a4e720b6a41ab,4,,,29-03-2018 00:00,31-03-2018 00:13
e363a3c172db72d6a8b82d0726cd2ddb,1a36784e5c696071dad8a242f26b230f,5,,,25-01-2018 00:00,18-02-2018 23:03
890ec1767be8eb104877db6d68eaade5,b3271f5ebce80cbecb67c5b88487a44a,5,,"otimo vendedor chegou ate antes do prazo , adorei o produto",13-05-2017 00:00,14-05-2017 02:57
23f570a1b0db9566bee04521a0410c54,82c5edeff15e09a0460d292874766132,5,,,22-09-2017 00:00,23-09-2017 13:57
7d9ac3e98adc0c8ad579e6a2257d79f9,dfa48852c93427261c98fb2e01f33bea,5,,Processo de compra tranquilo e eficiente.,24-04-2018 00:00,25-04-2018 16:01
c41bd21983e298a240410ebb391bf075,9562b424b05978a493db2a5122ecab1f,5,,Tomara q dure pois é de pelinho.,19-05-2017 00:00,21-05-2017 03:04
e233e51d11511bf30e568c76360ace52,548df2c6e5f089574614894bca78acf5,1,,"recebi somente 1 controle Midea Split ESTILO.
Faltou Controle Remoto para Ar Condicionado Consul",28-01-2018 00:00,04-02-2018 11:06
1a74d76543e1b419b48daebee364c281,14861b02076ed7da9471988265a0104b,5,,,14-07-2018 00:00,16-07-2018 20:09
1edd1a85161468a77e5fcb165be9b294,d8e17cc85323061493b16b68a130bcff,5,Ótimo,,02-06-2018 00:00,02-06-2018 23:15
94c4db81ff5c234f53b54a15a8a41583,3fb155b4897652f5cdf1b5efff32a465,5,,,15-12-2017 00:00,17-12-2017 14:43
3d94fd645cdaacc8c9f0dc0a2a1f5166,4d483bf690ca21bdc005df9b623673c7,5,,boa,21-03-2017 00:00,22-03-2017 00:58
cb6fe4f91f83d9222b7c8e14959055e1,84226f5c73669d7711ca44aa9cac602a,3,,,10-05-2018 00:00,13-05-2018 22:51
45a523faa4defdf60118a90301b8a23e,26c4ac9998f72d4fcdca3c6e27089f1b,3,,,27-10-2017 00:00,27-10-2017 16:12
6eab2c9b7ea4975a0b0357a4c464b356,55101b36a58251926b6cbfdb540c0461,4,,,31-05-2018 00:00,04-06-2018 23:44
500c05500aa275953129f49799ee5c73,8a9424899aac432d80d8e580932b5ee9,5,MT lindo,MT lindo,25-07-2018 00:00,25-07-2018 21:37
399133d47ddc5f40df57c1ceba4e4540,603d76b730c972775ccf2a910bf23490,5,,,03-04-2018 00:00,03-04-2018 23:39
6a0969d0769d2f3ff6438809a1cc455e,32638fbca8d1a197e649fd5138e12049,5,,"Ocorreu tudo como contratado sendo a entrega realizada antes do prazo 
 Estou satisfeita
",02-06-2017 00:00,03-06-2017 13:12
8a64945e89526e68bc16383391590232,71960e6af960919256a958a3633e1040,5,,"Amei achei lindo ,muito delicado adorei",18-04-2018 00:00,18-04-2018 22:30
ca7402594d96f3231ee1bbae27da1e29,36782087b0d4f8cd6daa340872006259,5,,,20-02-2018 00:00,21-02-2018 01:40
c0dbf9a325d2a2fece43873be47191e1,b324f4270850cbba23533b9a9d3434a9,4,,"Ótima loja para parceria: rápidíssima, produtos bem embalados e de qualidade! Só o custo do frete que foi meio azedo.",04-04-2018 00:00,06-04-2018 15:43
9924ac6169f2edc95ca3394e529f9580,a3ba7fa5266d62188949da3d6ccc3884,5,,,27-02-2018 00:00,02-03-2018 08:33
e12a8d938f3092e010627d001f91d137,b3dca2e199b13ddabab4ed77d79ee9f6,5,,,03-06-2018 00:00,06-06-2018 12:41
109b5ce2dd11bb8460eff3b86da6fefc,25362fbf6aac4b01a28dee1e076acc26,5,Ótimo Produto! ,Recomendo o vendedor... ,17-08-2018 00:00,17-08-2018 21:47
6d06808638ec0701bccd70bc8d462c28,97d2f8fe76f2f253b8291e17b5383884,1,,"O produto não chegou no prazo estipulado e causou transtorno, pq programei a viagem de férias do meu filho, baseado no prazo. Moro na Bahia e ele em Cuiabá sozinho. Agora, a casa está vazia. ",09-12-2016 00:00,19-12-2016 14:10
750d4311e8ddb6cba549ee86f06f0cca,4b32a4cdfc1b80066a8ee3a4b7a2094f,5,,"Produto entregue como solicitado, e com muita brevidade. Parabéns!
",09-08-2017 00:00,09-08-2017 12:03
951a3591f5bcc0b0c558461c9bf49d8e,801524a8fbd37484e8d8c23448f113b5,3,,,14-07-2018 00:00,14-07-2018 21:04
77ed4f94b3638d1f0b0a2dd781c11a8c,5f8772295e1adb4e4832c988d6b631b6,5,,,10-04-2018 00:00,12-04-2018 10:28
2a3eba09af2fbcd3a20580e62e7b7465,366df9c0b0d5d46f8afc476dc4ca7671,4,,,31-01-2018 00:00,01-02-2018 02:09
8b230a1373c6dc4bd867099fda1d7039,071251fe3b3493294536f03737a8a679,3,,Eu comprei duas unidades e só recebi uma e agora o que faço?,09-11-2017 00:00,10-11-2017 10:38
